"country","country.code","super.region","region","sex","age","pop","alcohol.use","drug.use","high.meat","low.exercise","smoking"
"Myanmar","MMR","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","Under 5",2374134.769,0.01144037256,0.1444157988,NA,NA,NA
"Myanmar","MMR","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","5-14 years",5172978,0.1298656571,0.1273864996,NA,NA,NA
"Myanmar","MMR","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","Under 5",2320254.437,0.007455115991,0.1563676847,NA,NA,NA
"Myanmar","MMR","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","5-14 years",5111099,0.03730430933,0.1314541805,NA,NA,NA
"Myanmar","MMR","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","15-49 years",14771977,4.185140278,2.709934597,0.02201535523,1.797651748,9.39934107
"Myanmar","MMR","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","15-49 years",14349533,37.068579695,21.585801733,0.03922748419,2.969074376,45.429012971
"Myanmar","MMR","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","50-69 years",3783036,117.637834046,59.821672039,0.3730316621,46.599548659,620.248448104
"Myanmar","MMR","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","70+ years",728362,162.47642925,57.550723432,0.7043849109,240.078102797,2421.335317194
"Myanmar","MMR","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","50-69 years",4406720,23.658700229,7.444026414,0.2700075584,31.140053761,164.492439944
"Myanmar","MMR","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","70+ years",1008536,44.333652477,10.914060113,0.5526564564,184.163928498,894.445367157
"Philippines","PHL","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","70+ years",1069880,246.776570566,6.611183198,3.36876692,198.969175108,1947.038248181
"Philippines","PHL","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","50-69 years",6603888,31.905932701,0.6978318652,1.262979913,23.636892729,134.719454218
"Philippines","PHL","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","5-14 years",10808027,0.9987847079,0.02766713294,NA,NA,NA
"Philippines","PHL","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","15-49 years",26931179,31.164515531,2.315547499,0.1516901534,3.199085404,48.818468349
"Philippines","PHL","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","50-69 years",6228670,143.565703183,3.701760943,1.81364012,44.267941848,593.654904515
"Philippines","PHL","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","5-14 years",10108994,0.6577403383,0.02191348472,NA,NA,NA
"Philippines","PHL","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","15-49 years",26105502,4.527859346,0.3742656418,0.09320862659,1.329788756,8.955765952
"Philippines","PHL","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","70+ years",1588294,102.449988481,1.340383005,2.662989209,140.85159637,743.20230633
"Philippines","PHL","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","Under 5",5833263.908,0.08856493423,0.05871225426,NA,NA,NA
"Philippines","PHL","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","Under 5",5525752.281,0.05772666327,0.04044240995,NA,NA,NA
"Sri Lanka","LKA","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","Under 5",854318.6214,0.03448694201,0.002178645886,NA,NA,NA
"Sri Lanka","LKA","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","Under 5",822170.8604,0.02514946686,0.00657898056,NA,NA,NA
"Sri Lanka","LKA","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","70+ years",463685,103.186885826,11.927901505,0.01197627313,290.748197585,557.600334287
"Sri Lanka","LKA","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","50-69 years",2235460,9.443498129,0.9296974895,0.002456937231,17.978258256,6.782566197
"Sri Lanka","LKA","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","70+ years",641452,41.639528354,1.804855856,0.006170877498,178.983353544,37.552448339
"Sri Lanka","LKA","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","5-14 years",1730107,0.1324372306,0.001336513566,NA,NA,NA
"Sri Lanka","LKA","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","15-49 years",4992985,29.375703889,7.380219176,0.0005166066241,3.102737537,18.830920453
"Sri Lanka","LKA","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","50-69 years",1958464,77.310565393,13.268827752,0.005784315604,49.458374269,207.120133564
"Sri Lanka","LKA","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","5-14 years",1717352,0.1007493211,0.0008191482159,NA,NA,NA
"Sri Lanka","LKA","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","15-49 years",5332492,1.7259581,0.6226304322,0.0001756762957,0.7238191756,0.6135616331
"Seychelles","SYC","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","Under 5",4331.003714,0.04157971887,0.1728424877,NA,NA,NA
"Seychelles","SYC","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","50-69 years",8701,144.005019683,19.857395091,1.234036426,50.772586837,352.276465856
"Seychelles","SYC","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","15-49 years",24790,4.581398389,3.675576227,0.0836834829,1.721957597,3.852693771
"Seychelles","SYC","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","50-69 years",8817,24.990615202,5.370902727,0.9559706086,22.688315948,38.082126412
"Seychelles","SYC","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","5-14 years",6978,0.1930066901,0.06726901915,NA,NA,NA
"Seychelles","SYC","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","70+ years",1832,287.998304702,40.217934293,3.093484338,252.808863297,1202.926039696
"Seychelles","SYC","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","70+ years",2934,140.152312815,13.414873683,2.787708763,222.663697787,210.980395786
"Seychelles","SYC","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","5-14 years",7261,0.2702734037,0.05992305319,NA,NA,NA
"Seychelles","SYC","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","15-49 years",26779,38.179624244,18.225837266,0.1294294179,5.482590495,39.402794209
"Seychelles","SYC","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","Under 5",4089.554962,0.05765108426,0.1971603979,NA,NA,NA
"Thailand","THA","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","70+ years",1989218,447.354698554,56.804344058,1.870680899,214.353762567,1992.667652667
"Thailand","THA","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","50-69 years",8230781,38.132967893,4.891403296,0.5505050467,18.356220971,71.460043546
"Thailand","THA","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","Under 5",1921995.529,0.0765901234,0.02540741377,NA,NA,NA
"Thailand","THA","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","Under 5",1811418.395,0.08095398698,0.01053200478,NA,NA,NA
"Thailand","THA","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","5-14 years",4213727,0.6598748314,0.01030389782,NA,NA,NA
"Thailand","THA","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","15-49 years",17681890,66.071352921,17.079401005,0.08602859225,3.520782775,45.003806008
"Thailand","THA","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","5-14 years",4023404,0.3504827191,0.003886063382,NA,NA,NA
"Thailand","THA","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","15-49 years",17766033,8.67811541,2.039174433,0.05436062906,1.38927353,6.872021913
"Thailand","THA","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","50-69 years",7658928,216.501345858,41.383464122,0.7864433428,37.976171006,441.361218691
"Thailand","THA","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","70+ years",2596382,147.44438231,8.544250886,1.362903458,154.704158194,460.91042459
"Timor-Leste","TLS","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","Under 5",106482.0346,0.1780243792,0.1679386969,NA,NA,NA
